Brand,model,Year,Age,kmDriven,Transmission,Owner,FuelType,AskPrice
7.0,103.0,2011.0,13.0,100000.0,0.0,2.0,0.0,295000.0
22.0,382.0,2017.0,7.0,48000.0,0.0,0.0,0.0,1199999.0
13.0,352.0,2013.0,11.0,150000.0,0.0,2.0,0.0,410000.0
13.0,100.0,2016.0,8.0,63000.0,1.0,2.0,2.0,650000.0
12.0,84.0,2018.0,6.0,62000.0,1.0,0.0,2.0,695000.0
12.0,44.0,2021.0,3.0,56001.0,0.0,0.0,0.0,1125000.0
36.0,188.0,2017.0,7.0,25000.0,1.0,0.0,0.0,1565000.0
12.0,191.0,2015.0,9.0,68001.0,1.0,2.0,2.0,444000.0
31.0,297.0,2013.0,11.0,72000.0,1.0,0.0,0.0,345000.0
4.0,8.0,2019.0,5.0,50000.0,0.0,2.0,0.0,2675000.0
12.0,84.0,2016.0,8.0,95000.0,1.0,2.0,2.0,535000.0
23.0,282.0,2021.0,3.0,39000.0,0.0,0.0,2.0,465000.0
22.0,382.0,2013.0,11.0,60000.0,1.0,2.0,0.0,695000.0
13.0,337.0,2017.0,7.0,72315.0,0.0,2.0,0.0,1035000.0
13.0,352.0,2014.0,10.0,82000.0,0.0,2.0,2.0,390000.0
36.0,71.0,2015.0,9.0,68000.0,0.0,2.0,2.0,1185000.0
23.0,37.0,2019.0,5.0,85000.0,0.0,2.0,2.0,280000.0
13.0,294.0,2016.0,8.0,64000.0,0.0,0.0,0.0,1245000.0
13.0,384.0,2016.0,8.0,68500.0,1.0,2.0,2.0,440000.0
23.0,110.0,2022.0,2.0,44000.0,0.0,0.0,2.0,780000.0
23.0,317.0,2019.0,5.0,59000.0,1.0,0.0,2.0,540000.0
21.0,32.0,2022.0,2.0,32000.0,0.0,0.0,2.0,1275000.0
3.0,263.0,2014.0,10.0,45000.0,0.0,2.0,0.0,1200000.0
37.0,347.0,2016.0,8.0,130000.0,0.0,2.0,2.0,525000.0
23.0,40.0,2019.0,5.0,65000.0,1.0,0.0,2.0,300000.0
36.0,188.0,2017.0,7.0,112000.0,0.0,0.0,0.0,1551111.0
26.0,91.0,2014.0,10.0,32000.0,0.0,2.0,0.0,1900000.0
31.0,197.0,2017.0,7.0,78537.0,0.0,0.0,2.0,375000.0
37.0,347.0,2018.0,6.0,70673.0,0.0,0.0,0.0,775000.0
23.0,52.0,2018.0,6.0,39848.0,1.0,0.0,2.0,479931.0
3.0,261.0,2016.0,8.0,77000.0,0.0,0.0,0.0,1500000.0
23.0,37.0,2008.0,16.0,111400.0,1.0,2.0,2.0,150000.0
36.0,140.0,2017.0,7.0,30000.0,0.0,2.0,0.0,3495000.0
33.0,271.0,2015.0,9.0,82000.0,0.0,2.0,0.0,325000.0
23.0,319.0,2013.0,11.0,89000.0,1.0,2.0,0.0,361000.0
36.0,140.0,2015.0,9.0,195000.0,0.0,0.0,0.0,1550000.0
35.0,176.0,2017.0,7.0,65110.0,1.0,0.0,0.0,695000.0
13.0,101.0,2022.0,2.0,25000.0,1.0,0.0,2.0,1375000.0
4.0,15.0,2014.0,10.0,115000.0,0.0,0.0,0.0,1500000.0
12.0,191.0,2015.0,9.0,64000.0,1.0,0.0,2.0,574999.0
37.0,253.0,2013.0,11.0,61000.0,0.0,0.0,2.0,415000.0
13.0,168.0,2014.0,10.0,54000.0,0.0,2.0,2.0,479000.0
36.0,188.0,2022.0,2.0,25000.0,0.0,0.0,0.0,2600000.0
23.0,80.0,2015.0,9.0,103000.0,0.0,2.0,2.0,360000.0
22.0,329.0,2022.0,2.0,14000.0,0.0,0.0,2.0,1550000.0
35.0,60.0,2015.0,9.0,56000.0,1.0,0.0,2.0,235000.0
4.0,11.0,2016.0,8.0,47000.0,0.0,2.0,0.0,2500000.0
16.0,377.0,2013.0,11.0,97763.0,0.0,2.0,0.0,1550000.0
